MOF, HC CH4, Error CH4, HC CO2, Error CO2, HC H2O, Error H2O, HC N2, Error N2, HC N2O, Error N2O, HC O2, Error O2
MOF,, Henry, Coefficient,, Henry, Coefficient,, Henry, Coefficient,, Henry, Coefficient,, Henry, Coefficient,, Henry, Coefficient,
ABAVIJ_clean, 1.68417e-05, 4.81437e-07, 0.00321232, 4.83648e-05, 6.79668e-05, 1.40493e-05, 9.2101e-06, 4.79658e-07, 0.00202758, 2.4086e-05, 2.93908e-05, 4.75667e-07
ABAYIO_clean, 1.62128e-05, 3.93517e-07, 3.26675e-05, 2.3028e-07, 0.00183052, 8.94276e-05, 3.22967e-06, 1.88881e-08, 3.53357e-05, 1.815e-07, 1.64503e-05, 1.37423e-07
ABAYOU_clean, 1.65475e-05, 3.67845e-07, 3.48643e-05, 2.82093e-07, 1.37958, 0.440175, 3.32596e-06, 1.7356e-08, 3.73342e-05, 2.86829e-07, 1.63225e-05, 3.3503e-07
ABESUX_clean, 1.54556e-06, 1.38477e-08, 0.046094, 0.0205034, 314029, 358605, 1.33758e-06, 1.76528e-08, 0.026905, 0.00587278, 1.59836e-06, 1.31336e-08
ABETAE_clean, 1.5434e-06, 1.29568e-08, 0.0287136, 0.00181189, 48315.6, 33394.4, 1.29706e-06, 1.98314e-08, 0.0221704, 0.00468622, 1.58643e-06, 1.21799e-08
ABETIN_clean, 9.88481e-06, 4.59732e-08, 2.40114e-05, 9.50317e-08, 6.28884e-06, 7.7286e-08, 3.7045e-06, 5.3578e-09, 2.53615e-05, 5.88605e-08, 1.00547e-05, 1.3718e-08
ABEXEM_clean, 2.78263e-06, 3.01561e-08, 0.0327271, 0.0490292, 4.19408e+11, 2.92287e+11, 1.41603e-06, 1.076e-08, 0.00824949, 0.00425461, 3.71564e-06, 4.46909e-08
ABEXEN_clean, 1.20883e-05, 2.44271e-07, 0.00387678, 0.000376033, 0.000110031, 7.55185e-06, 3.77715e-06, 6.70636e-08, 0.00428315, 0.000478272, 1.37686e-05, 3.87402e-07
ABEXIQ_clean, 2.69862e-06, 3.35309e-08, 0.0259946, 0.0111438, 2.29049e+13, 3.45388e+13, 1.42688e-06, 2.40648e-08, 0.015864, 0.0155483, 3.7268e-06, 1.60512e-08
ABEXOW_clean, 2.67028e-06, 4.31586e-08, 0.0217304, 0.022875, 4.78392e+13, 6.62826e+13, 1.40689e-06, 2.37297e-08, 0.00742849, 0.0056242, 3.69473e-06, 3.59451e-08
ABEXUC_clean, 2.66102e-06, 3.71861e-08, 0.0151004, 0.0020044, 2.7798e+13, 5.17226e+13, 1.38326e-06, 2.41317e-08, 0.0267741, 0.0383186, 3.74111e-06, 2.34951e-08
ABEYAJ_clean, 2.56509e-06, 3.25481e-08, 0.0268535, 0.0303928, 7.91524e+13, 7.49578e+13, 1.38258e-06, 3.51345e-08, 0.0421302, 0.0902942, 3.63941e-06, 2.11861e-08
ABEYIR_clean, 2.45882e-06, 8.40399e-09, 0.00689897, 0.00079507, 1.10572e+13, 2.04634e+13, 1.25587e-06, 6.56798e-09, 0.00381689, 0.00188183, 3.55431e-06, 2.81209e-08
ABIXOZ_clean, 6.15331e-07, 3.27605e-09, 0.00489828, 0.00134418, 1734.07, 1879.23, 1.80799e-05, 5.02097e-06, 8.11638, 10.7064, 8.79549e-07, 7.55186e-09
ABIYIV_clean, 6.60297e-06, 2.38736e-07, 0.000331897, 8.05738e-06, 0.0131104, 0.00715861, 1.51198e-06, 3.08255e-08, 0.000216872, 3.48708e-06, 8.69907e-06, 1.62543e-07
ABULOB_clean, 8.33721e-06, 8.57406e-08, 0.000207874, 5.36938e-06, 0.00332633, 0.000208434, 0.0062949, 0.000464035, 3.1482, 0.18451, 3.3966e-05, 6.22866e-07
ABUWOJ_clean, 1.56035e-05, 5.88409e-08, 0.00105124, 2.18295e-05, 1.55384, 0.685715, 4.88145e-06, 3.6566e-08, 0.00106361, 3.44675e-05, 1.80454e-05, 9.74081e-08
ac403674p_si_001_clean, 2.9954e-06, 3.24732e-08, 1.54175e-05, 3.99403e-08, 6.79804e-05, 7.75658e-06, 1.07211e-06, 9.48146e-09, 1.15985e-05, 5.89116e-08, 2.9355e-06, 3.02302e-08
