,Unnamed: 0,MOF,Kh CH4/ Kh CO2,Kh CH4/Kh H2O,Kh CH4/Kh N2,Kh CH4/Kh N2O,Kh CH4/Kh O2,Kh CO2/Kh H2O,Kh CO2/Kh N2,Kh CO2/Kh N2O,Kh CO2/Kh O2,Kh H2O/Kh N2,Kh H2O/Kh N2O,Kh H2O/Kh O2,Kh N2/Kh N2O,Kh N2/Kh O2,Kh N2O/Kh O2,Kh CO2/Kh CH4,Kh H2O/Kh CH4,Kh H2O/Kh CO2,Kh N2/Kh CH4,Kh N2/Kh CO2,Kh N2/Kh H2O,Kh N2O/Kh CH4,Kh N2O/Kh CO2,Kh N2O/Kh H2O,Kh N2O/Kh N2,Kh O2/Kh CH4,Kh O2/Kh CO2,Kh O2/Kh H2O,Kh O2/Kh N2,Kh O2/Kh N2O,LCD,PLD,SA,VF,VF Error,AV
0,0,ABAVIJ_clean,0.005229865,0.247058824,1.824104235,0.00828574,0.571428571,47.24,348.7861021,1.584312333,109.262585,7.383279045,0.033537518,2.31292517,0.004542361,0.313265306,68.96530612,191.2095238,4.047619048,0.548214286,120.6892857,1.75,0.021168501,0.002867087,0.631188674,0.009152264,0.135441176,29.81735294,0.432352941,220.1498371,3.19218241,0.014500044,4.45543,2.4972,650.086,0.398506,0.001351,0.0219813
1,1,ABAYIO_clean,0.495412844,0.008849944,5.015479876,0.458923513,0.981818182,0.017863776,10.12383901,0.926345609,1.981818182,566.7244582,51.85609065,110.9406061,0.091501416,0.195757576,2.139393939,2.018518519,112.9950617,0.199382716,2.179012346,1.018518519,55.97920489,0.098776758,1.079510703,0.504587156,0.001764526,0.019284138,0.009013832,10.92879257,5.108359133,0.467422096,11.39486,4.3226,3064.34,0.831989,0.000438,0.281417
2,2,ABAYOU_clean,0.47277937,1.2e-05,4.954954955,0.442359249,1.012269939,2.53e-05,10.48048048,0.935656836,2.141104294,414288.2883,36986.05898,84636.80982,0.089276139,0.204294479,2.288343558,2.115151515,83610.90909,0.201818182,2.260606061,0.987878788,39529.51289,0.095415473,1.068767908,0.467048711,2.41e-06,2.7e-05,1.18e-05,11.2012012,4.894894895,0.436997319,11.27344,4.5108,3036.56,0.842387,0.000593,0.276431
3,3,ABESUX_clean,3.36e-05,4.94e-12,1.156716418,5.76e-05,0.96875,1.47e-07,34398.50746,1.713213157,28808.75,234350000000.0,11671771.05,196268000000.0,4.98e-05,0.8375,16815.625,29738.06452,202599000000.0,0.864516129,17358.06452,1.032258065,6812795.592,2.91e-05,0.583698529,3.47e-05,4.27e-12,8.57e-08,5.1e-12,20078.35821,1.194029851,5.95e-05,5.87931,4.42585,637.771,0.698221,0.000641,0.045649
4,4,ABETAE_clean,5.36e-05,3.19e-11,1.184615385,6.95e-05,0.968553459,5.94e-07,22087.38462,1.295132248,18058.86792,37165846154.0,2179284.09,30387169811.0,5.86e-05,0.817610063,13943.6478,18645.19481,31373766234.0,0.844155844,14396.36364,1.032467532,1682673.019,4.53e-05,0.772121921,5.54e-05,2.69e-11,4.59e-07,3.29e-11,17054.15385,1.223076923,7.17e-05,5.88295,4.42122,656.744,0.70238,0.000883,0.0469173
5,5,ABETIN_clean,0.411666667,1.570747218,2.67027027,0.388976378,0.978217822,3.815580286,6.486486486,0.94488189,2.376237624,1.7,0.247637795,0.622772277,0.145669291,0.366336634,2.514851485,2.429149798,0.636639676,0.374493927,2.570850202,1.022267206,0.262083333,0.154166667,1.058333333,0.420833333,0.588235294,4.038155803,1.60572337,6.864864865,2.72972973,0.397637795,9.47418,7.83744,4078.14,0.94301,0.000827,0.692996
6,6,ABEXEM_clean,8.49e-05,6.63e-18,1.957746479,0.000336991,0.747311828,7.81e-14,23047.25352,3.967166455,8797.607527,2.95e+17,50791000000000.0,1.13e+17,0.000172132,0.38172043,2217.604839,11772.33813,1.51e+17,0.510791367,2967.442446,1.338129496,12802800000000.0,4.34e-05,0.25206908,0.000113667,3.39e-18,1.97e-14,8.88e-18,5809.5,2.61971831,0.000450937,4.82084,4.14331,991.433,0.532274,0.001213,0.0515214
7,7,ABEXEN_clean,0.003121147,0.109969009,3.201058201,0.002825024,0.876811594,35.2335251,1025.603175,0.905123566,280.926087,29.10873016,0.025689271,7.97326087,0.000882528,0.273913043,310.3731884,320.3950413,9.093471074,0.312396694,353.9793388,1.140495868,0.028382059,0.000975036,1.104821527,0.003559655,0.034353955,38.926757,0.1254192,1133.108466,3.650793651,0.003221928,18.8079,13.71867,2618.72,0.904835,0.001266,0.697954
8,8,ABEXIQ_clean,0.000103868,1.18e-19,1.888111888,0.000170197,0.72386059,1.14e-15,18178.04196,1.638590519,6969.061662,1.6e+19,1443520000000000.0,6.14e+18,9.01e-05,0.383378016,4253.08311,9627.62963,8.48e+18,0.52962963,5875.555556,1.381481481,880952000000000.0,5.5e-05,0.610280597,0.000143491,6.24e-20,6.93e-16,1.63e-19,11093.70629,2.608391608,0.000235124,4.80529,4.06893,972.207,0.528861,0.00083,0.0497539
9,9,ABEXOW_clean,0.000122869,5.59e-20,1.893617021,0.000359427,0.723577236,4.55e-16,15411.63121,2.925278219,5888.99729,3.39e+19,6434690000000000.0,1.3e+19,0.00018981,0.382113821,2013.140921,8138.726592,1.79e+19,0.528089888,2782.205993,1.382022472,2199680000000000.0,6.49e-05,0.341847826,0.000169808,2.95e-20,1.55e-16,7.72e-20,5268.432624,2.617021277,0.000496736,4.7727,4.04921,936.267,0.525812,0.0004,0.0468872
